model,trades,winrate,total_R,max_DD_R
Baseline_A_2R,145,0.35172413793103446,3.460000000000001,29.113999999999997
Baseline_B_3R,144,0.2638888888888889,3.946000000000005,28.318999999999996
Baseline_C_2R_asiaFilter,4,0.5,1.2000000000000002,1.0
Baseline_D_2R_retrace,138,0.37681159420289856,15.580000000000005,24.003
