date,time,side,rr_target,entry,sl,tp,result_R,asia_high,asia_low,ema,atr
2025-01-02,2025-01-02 08:10:00+00:00,short,3.0,2635.068,2637.838,2626.7580000000003,0.0,2636.298,2622.448,2629.6738856336806,1.2537857142857385
2025-01-03,2025-01-03 07:15:00+00:00,long,3.0,2655.898,2654.598,2659.7980000000007,-1.0,2665.185,2655.815,2655.835034244966,1.502714285714319
2025-01-06,2025-01-06 07:05:00+00:00,long,3.0,2631.875,2630.165,2637.005,-1.0,2647.275,2631.51,2638.7258849494333,1.4742142857142295
2025-01-08,2025-01-08 07:05:00+00:00,short,3.0,2652.195,2653.445,2648.445,-1.0,2651.375,2645.095,2648.434130301195,1.0917857142856715
2025-01-09,2025-01-09 07:05:00+00:00,short,3.0,2665.255,2667.645,2658.0850000000005,0.0,2662.698,2655.305,2658.9713823016655,1.3095714285713842
2025-01-10,2025-01-10 07:05:00+00:00,short,3.0,2678.195,2679.398,2674.5860000000002,0.0,2675.785,2668.728,2671.0881588862694,1.149499999999989
2025-01-13,2025-01-13 10:05:00+00:00,long,3.0,2679.189,2677.719,2683.5989999999993,0.0,2693.245,2679.145,2687.6433885899705,2.601999999999959
2025-01-14,2025-01-14 09:45:00+00:00,long,3.0,2665.515,2663.699,2670.9629999999993,0.0,2675.155,2666.059,2669.496762497564,1.6203571428571715
2025-01-15,2025-01-15 07:05:00+00:00,short,3.0,2681.235,2682.465,2677.545,-1.0,2679.145,2669.315,2674.1619805497285,1.2850000000000168
2025-01-16,2025-01-16 08:20:00+00:00,short,3.0,2701.665,2703.195,2697.0749999999994,-1.0,2702.008,2692.648,2693.6087699205386,1.8509285714285721
2025-01-17,2025-01-17 07:50:00+00:00,long,3.0,2709.579,2708.508,2712.7920000000013,0.0,2717.375,2709.725,2712.5298539484684,1.5184999999999687
2025-01-20,2025-01-20 07:05:00+00:00,short,3.0,2708.995,2712.755,2697.7149999999992,0.0,2707.435,2689.308,2702.034650909536,1.6995714285714516
2025-01-21,2025-01-21 07:40:00+00:00,short,3.0,2731.065,2732.395,2727.0750000000003,0.0,2728.985,2702.745,2716.52086673852,2.1407142857143038
2025-01-22,2025-01-22 09:25:00+00:00,short,3.0,2759.025,2761.045,2752.965,-1.0,2758.475,2742.455,2745.8048516591543,2.0079285714286277
2025-01-23,2025-01-23 09:25:00+00:00,long,3.0,2745.955,2744.575,2750.0950000000003,-1.0,2756.088,2749.385,2753.1767052629934,1.682785714285696
2025-01-24,2025-01-24 09:35:00+00:00,short,3.0,2774.135,2778.665,2760.545000000001,-1.0,2777.215,2754.075,2765.59046565579,2.042142857142835
2025-01-27,2025-01-27 07:15:00+00:00,long,3.0,2752.805,2751.565,2756.524999999999,-1.0,2772.415,2752.655,2762.90076764053,1.4657142857143495
2025-01-28,2025-01-28 08:15:00+00:00,long,3.0,2737.835,2736.565,2741.645,-1.0,2745.065,2737.675,2743.017124426032,1.4400000000000222
2025-01-29,2025-01-29 07:05:00+00:00,long,3.0,2758.815,2757.405,2763.0449999999996,0.0,2765.985,2759.965,2759.70492597372,1.2445714285713945
2025-01-31,2025-01-31 07:05:00+00:00,long,3.0,2793.215,2790.915,2800.1150000000007,3.0,2799.375,2793.735,2791.37035174571,1.3740714285714344
2025-02-03,2025-02-03 08:25:00+00:00,short,3.0,2796.408,2798.665,2789.6369999999997,-1.0,2795.598,2771.885,2788.9775650435768,2.652928571428577
2025-02-04,2025-02-04 07:05:00+00:00,long,3.0,2812.575,2810.115,2819.955,-1.0,2824.445,2812.305,2814.3333757637215,1.4842857142857935
2025-02-05,2025-02-05 08:00:00+00:00,short,3.0,2863.945,2865.075,2860.555000000001,-1.0,2860.415,2839.335,2846.5176884737602,1.9549999999999597
2025-02-06,2025-02-06 07:05:00+00:00,long,3.0,2860.535,2857.155,2870.674999999999,-1.0,2873.085,2863.448,2866.460601876172,2.069357142857143
2025-02-07,2025-02-07 09:15:00+00:00,short,3.0,2867.615,2871.505,2855.944999999999,0.0,2870.395,2857.415,2862.085017906643,1.8816428571428463
2025-02-10,2025-02-10 07:30:00+00:00,short,3.0,2892.165,2893.165,2889.165,-1.0,2879.795,2865.558,2870.940555004355,2.3126428571428215
2025-02-11,2025-02-11 09:05:00+00:00,long,3.0,2911.505,2903.535,2935.415000000001,-1.0,2942.665,2905.015,2912.699009229421,3.305928571428532
2025-02-12,2025-02-12 10:35:00+00:00,long,3.0,2883.478,2880.838,2891.3979999999997,-1.0,2898.765,2883.345,2893.52378827883,2.335428571428435
2025-02-14,2025-02-14 07:05:00+00:00,short,3.0,2932.705,2935.215,2925.1749999999993,-1.0,2933.705,2922.915,2925.4794344640477,1.8117142857142556
2025-02-17,2025-02-17 09:20:00+00:00,short,3.0,2903.965,2906.955,2894.995000000001,0.0,2905.075,2879.095,2892.8950203968775,2.3391428571428605
2025-02-19,2025-02-19 08:40:00+00:00,short,3.0,2939.805,2940.865,2936.625,0.0,2939.465,2924.0,2929.9678321089887,1.6292857142857105
2025-02-20,2025-02-20 07:05:00+00:00,short,3.0,2947.695,2949.005,2943.7650000000003,-1.0,2946.685,2933.615,2937.8607518104714,1.5794999999999877
2025-02-21,2025-02-21 08:15:00+00:00,long,3.0,2923.725,2922.625,2927.0249999999996,-1.0,2949.545,2923.955,2935.2048044768408,1.8664285714285467
2025-02-24,2025-02-24 07:55:00+00:00,short,3.0,2942.095,2945.795,2930.994999999999,0.0,2944.575,2921.055,2936.8578525336184,1.726642857142841
2025-02-25,2025-02-25 07:05:00+00:00,long,3.0,2935.085,2933.705,2939.2250000000004,3.0,2952.405,2935.0,2943.579170123187,1.6219285714285303
2025-02-26,2025-02-26 07:05:00+00:00,long,3.0,2907.269,2904.595,2915.2909999999997,3.0,2929.995,2912.485,2918.399022323421,2.1209285714285215
2025-02-27,2025-02-27 07:45:00+00:00,long,3.0,2890.135,2886.855,2899.975000000001,0.0,2918.975,2888.295,2906.932109802378,3.017857142857143
2025-02-28,2025-02-28 08:05:00+00:00,long,3.0,2857.795,2855.685,2864.1250000000005,-1.0,2884.925,2856.785,2873.0458699227725,2.2197857142857305
2025-03-03,2025-03-03 08:30:00+00:00,long,3.0,2859.895,2857.735,2866.3749999999995,3.0,2871.848,2859.055,2862.7019819875695,1.99235714285721
2025-03-04,2025-03-04 07:25:00+00:00,short,3.0,2893.765,2895.455,2888.6949999999997,-1.0,2894.225,2881.648,2886.442191824826,2.247785714285718
2025-03-05,2025-03-05 07:05:00+00:00,short,3.0,2918.665,2919.815,2915.2149999999997,0.0,2918.655,2901.758,2911.781604423148,2.2107857142857483
2025-03-06,2025-03-06 07:35:00+00:00,long,3.0,2914.725,2912.385,2921.744999999999,-1.0,2926.425,2914.385,2918.6262815090035,2.259999999999991
2025-03-07,2025-03-07 07:05:00+00:00,short,3.0,2914.105,2915.535,2909.8150000000005,0.0,2912.375,2895.698,2909.652258130912,1.805928571428532
2025-03-10,2025-03-10 08:00:00+00:00,long,3.0,2908.135,2903.125,2923.165000000001,-1.0,2918.125,2906.689,2911.2883503071384,2.6296428571428287
2025-03-11,2025-03-11 07:05:00+00:00,short,3.0,2900.848,2903.245,2893.657,0.0,2900.315,2879.938,2895.1983160447485,2.085000000000004
2025-03-12,2025-03-12 07:05:00+00:00,long,3.0,2910.815,2909.505,2914.745,0.0,2919.795,2910.558,2914.123145862174,2.2891428571428087
2025-03-13,2025-03-13 07:05:00+00:00,long,3.0,2936.295,2934.935,2940.3750000000005,-1.0,2946.975,2936.248,2935.2907574815094,1.7690714285714486
2025-03-14,2025-03-14 07:25:00+00:00,long,3.0,2981.0,2980.0,2984.0,3.0,2993.835,2981.475,2979.375150377847,2.037714285714336
2025-03-17,2025-03-17 09:45:00+00:00,short,3.0,2995.215,2996.285,2992.005000000001,-1.0,2992.895,2981.975,2986.9110914551557,1.4200000000000077
2025-03-18,2025-03-18 07:15:00+00:00,short,3.0,3017.995,3019.469,3013.5729999999994,0.0,3016.975,2999.258,3004.503954543116,1.9905714285714242
2025-03-19,2025-03-19 08:45:00+00:00,long,3.0,3027.798,3025.765,3033.8969999999995,-1.0,3045.155,3027.175,3033.0554772543824,2.3492142857143596
2025-03-20,2025-03-20 07:25:00+00:00,long,3.0,3045.895,3043.085,3054.325,-1.0,3057.245,3044.668,3045.830368286734,2.105714285714222
2025-03-24,2025-03-24 07:10:00+00:00,short,3.0,3025.775,3027.315,3021.155,-1.0,3025.495,3013.475,3021.7622342532272,1.6783571428571318
2025-03-25,2025-03-25 08:50:00+00:00,short,3.0,3020.475,3022.045,3015.7649999999994,0.0,3020.895,3007.315,3014.6338287660124,1.8345714285714425
2025-03-26,2025-03-26 07:10:00+00:00,short,3.0,3026.558,3028.348,3021.188,-1.0,3026.955,3013.048,3020.405522567174,1.3059285714285969
2025-03-27,2025-03-27 10:05:00+00:00,short,3.0,3041.478,3044.095,3033.627000000001,-1.0,3038.495,3021.355,3028.752056421004,1.9914999999999898
2025-03-28,2025-03-28 07:05:00+00:00,short,3.0,3084.175,3085.655,3079.735,0.0,3081.805,3054.685,3063.3563822896176,2.01757142857137
2025-03-31,2025-03-31 07:05:00+00:00,short,3.0,3123.735,3125.285,3119.085000000001,3.0,3119.705,3076.485,3097.414688055336,4.054571428571405
2025-04-03,2025-04-03 07:10:00+00:00,long,3.0,3121.495,3120.385,3124.824999999999,0.0,3164.575,3123.785,3136.347814996394,4.395999999999991
2025-04-04,2025-04-04 08:20:00+00:00,long,3.0,3086.555,3084.015,3094.1749999999997,-1.0,3115.515,3086.838,3105.315774160809,4.089785714285783
2025-04-08,2025-04-08 07:05:00+00:00,short,3.0,3008.822,3014.252,2992.5320000000006,0.0,3008.045,2980.125,2998.205169898622,3.3740714285714017
2025-04-09,2025-04-09 07:05:00+00:00,short,3.0,3041.262,3044.265,3032.253000000001,-1.0,3020.365,2971.745,3001.732029968146,6.101428571428577
